Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
melbourne_botanical_gardens,2014,4,26,0.0
melbourne_botanical_gardens,2014,4,27,0.0
melbourne_botanical_gardens,2014,4,28,0.0
melbourne_botanical_gardens,2014,4,29,0.0
melbourne_botanical_gardens,2014,4,30,16.0
melbourne_botanical_gardens,2014,5,1,0.0
melbourne_botanical_gardens,2014,5,2,0.0
melbourne_botanical_gardens,2014,5,3,2.6
melbourne_botanical_gardens,2014,5,4,7.0
melbourne_botanical_gardens,2014,5,5,1.4
melbourne_botanical_gardens,2014,5,6,0.8
melbourne_botanical_gardens,2014,5,7,2.0
melbourne_botanical_gardens,2014,5,8,0.0
melbourne_botanical_gardens,2014,5,9,0.0
melbourne_botanical_gardens,2014,5,10,12.4
melbourne_botanical_gardens,2014,5,11,2.8
melbourne_botanical_gardens,2014,5,12,0.0
melbourne_botanical_gardens,2014,5,13,0.0
melbourne_botanical_gardens,2014,5,14,0.0
melbourne_botanical_gardens,2014,5,15,0.0
melbourne_botanical_gardens,2014,5,16,0.0
melbourne_botanical_gardens,2014,5,17,0.0
melbourne_botanical_gardens,2014,5,18,0.2
melbourne_botanical_gardens,2014,5,19,0.0
melbourne_botanical_gardens,2014,5,20,0.6
melbourne_botanical_gardens,2014,5,21,0.4
melbourne_botanical_gardens,2014,5,22,0.0
melbourne_botanical_gardens,2014,5,23,8.2
melbourne_botanical_gardens,2014,5,24,0.2
melbourne_botanical_gardens,2014,5,25,0.8
melbourne_botanical_gardens,2014,5,26,0.2
melbourne_botanical_gardens,2014,5,27,0.0
melbourne_botanical_gardens,2014,5,28,1.4
melbourne_botanical_gardens,2014,5,29,0.0
melbourne_botanical_gardens,2014,5,30,0.0
melbourne_botanical_gardens,2014,5,31,0.0
melbourne_botanical_gardens,2014,6,1,4.8
melbourne_botanical_gardens,2014,6,2,3.8
melbourne_botanical_gardens,2014,6,3,3.2
melbourne_botanical_gardens,2014,6,4,1.2
melbourne_botanical_gardens,2014,6,5,4.8
melbourne_botanical_gardens,2014,6,6,2.2
